Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2009-02-10,11:00,,28,28,,,,,
2009-02-10,12:00,,29,29,,,,,
2009-02-10,13:00,,27,27,,,,,
2009-02-10,14:00,,20,24,,,,,
2009-02-10,15:00,,11,19,,,,,
2009-02-10,16:00,,11,21,,,,,
2009-02-10,17:00,,10,23,,,,,
2009-02-10,18:00,,13,24,,,,,
2009-02-10,19:00,,9,22,,,,,
2009-02-10,20:00,,6,20,,,,,
2009-02-10,21:00,,5,20,,,,,
2009-02-10,22:00,,7,23,,,,,
2009-02-10,23:00,,7,26,,,,,
2009-02-11,,,,,,11,,,
2009-02-11,00:00,,2,19,,,,,
2009-02-11,01:00,,1,14,,,,,
2009-02-11,02:00,,1,12,,,,,
2009-02-11,03:00,,1,10,,,,,
2009-02-11,04:00,,1,10,,,,,
2009-02-11,05:00,,1,11,,,,,
2009-02-11,06:00,,1,11,,,,,
2009-02-11,07:00,,3,12,,,,,
2009-02-11,08:00,,4,12,,,,,
2009-02-11,09:00,,7,12,,,,,
2009-02-11,10:00,,6,13,,,,,
2009-02-11,11:00,,9,16,,,,,
2009-02-11,12:00,,11,17,,,,,
2009-02-11,13:00,,9,17,,,,,
2009-02-11,14:00,,12,16,,,,,
2009-02-11,15:00,,9,14,,,,,
2009-02-11,16:00,,5,13,,,,,
2009-02-11,17:00,,5,14,,,,,
2009-02-11,18:00,,39,40,,,,,
2009-02-11,19:00,,99,79,,,,,
2009-02-11,20:00,,41,58,,,,,
2009-02-11,21:00,,25,48,,,,,
2009-02-11,22:00,,22,43,,,,,
2009-02-11,23:00,,15,43,,,,,
2009-02-12,,,,,,14,,,
2009-02-12,00:00,,11,29,,,,,
2009-02-12,01:00,,3,22,,,,,
2009-02-12,02:00,,2,17,,,,,
2009-02-12,03:00,,13,23,,,,,
2009-02-12,04:00,,19,33,,,,,
2009-02-12,05:00,,24,27,,,,,
2009-02-12,06:00,,6,20,,,,,
2009-02-12,07:00,,14,25,,,,,
2009-02-12,08:00,,48,39,,,,,
2009-02-12,09:00,,13,29,,,,,
2009-02-12,10:00,,32,33,,,,,
2009-02-12,11:00,,21,25,,,,,
2009-02-12,12:00,,20,20,,,,,
2009-02-12,13:00,,9,18,,,,,
2009-02-12,14:00,,15,19,,,,,
2009-02-12,15:00,,7,12,,,,,
2009-02-12,16:00,,12,17,,,,,
2009-02-12,17:00,,11,18,,,,,
2009-02-12,18:00,,10,19,,,,,
2009-02-12,19:00,,4,14,,,,,
2009-02-12,20:00,,72,70,,,,,
2009-02-12,21:00,,38,59,,,,,
2009-02-12,22:00,,47,59,,,,,
2009-02-12,23:00,,27,52,,,,,
2009-02-13,,,,,,22,,,
2009-02-13,00:00,,6,33,,,,,
2009-02-13,01:00,,1,17,,,,,
2009-02-13,02:00,,5,24,,,,,
2009-02-13,03:00,,2,25,,,,,
2009-02-13,04:00,,17,30,,,,,
2009-02-13,05:00,,67,48,,,,,
2009-02-13,06:00,,115,61,,,,,
2009-02-13,07:00,,132,67,,,,,
2009-02-13,08:00,,179,78,,,,,
2009-02-13,09:00,,128,61,,,,,
2009-02-13,10:00,,57,47,,,,,
2009-02-13,11:00,,57,46,,,,,
2009-02-13,12:00,,19,18,,,,,
2009-02-13,13:00,,11,14,,,,,
2009-02-13,14:00,,14,15,,,,,
2009-02-13,15:00,,14,16,,,,,
2009-02-13,16:00,,7,13,,,,,
2009-02-13,17:00,,10,19,,,,,
2009-02-13,18:00,,27,33,,,,,
2009-02-13,19:00,,48,59,,,,,
2009-02-13,20:00,,42,49,,,,,
2009-02-13,21:00,,29,43,,,,,
2009-02-13,22:00,,24,47,,,,,
2009-02-13,23:00,,16,36,,,,,
2009-02-14,,,,,,21,,,
2009-02-14,00:00,,16,36,,,,,
2009-02-14,01:00,,7,27,,,,,
2009-02-14,02:00,,3,24,,,,,
2009-02-14,03:00,,3,25,,,,,
2009-02-14,04:00,,1,20,,,,,
2009-02-14,05:00,,2,21,,,,,
2009-02-14,06:00,,8,20,,,,,
2009-02-14,07:00,,6,19,,,,,
2009-02-14,08:00,,12,27,,,,,
2009-02-14,09:00,,15,23,,,,,
2009-02-14,10:00,,16,21,,,,,
2009-02-14,11:00,,33,28,,,,,
2009-02-14,12:00,,23,22,,,,,
2009-02-14,13:00,,13,18,,,,,
2009-02-14,14:00,,12,17,,,,,
2009-02-14,15:00,,8,15,,,,,
2009-02-14,16:00,,8,17,,,,,
2009-02-14,17:00,,4,14,,,,,
2009-02-14,18:00,,6,18,,,,,
2009-02-14,19:00,,20,29,,,,,
2009-02-14,20:00,,6,20,,,,,
2009-02-14,21:00,,9,21,,,,,
2009-02-14,22:00,,1,16,,,,,
2009-02-14,23:00,,2,16,,,,,
2009-02-15,,,,,,24,,,
2009-02-15,00:00,,4,15,,,,,
2009-02-15,01:00,,1,13,,,,,
2009-02-15,02:00,,2,14,,,,,
2009-02-15,03:00,,1,16,,,,,
2009-02-15,04:00,,2,14,,,,,
2009-02-15,05:00,,2,8,,,,,
2009-02-15,06:00,,1,10,,,,,
2009-02-15,07:00,,3,15,,,,,
2009-02-15,08:00,,4,16,,,,,
2009-02-15,09:00,,2,11,,,,,
2009-02-15,10:00,,11,17,,,,,
2009-02-15,11:00,,9,11,,,,,
2009-02-15,12:00,,10,14,,,,,
2009-02-15,13:00,,7,13,,,,,
2009-02-15,14:00,,9,14,,,,,
2009-02-15,15:00,,7,13,,,,,
2009-02-15,16:00,,6,12,,,,,
2009-02-15,17:00,,12,21,,,,,
2009-02-15,18:00,,12,26,,,,,
2009-02-15,19:00,,23,36,,,,,
2009-02-15,20:00,,9,27,,,,,
2009-02-15,21:00,,6,20,,,,,
2009-02-15,22:00,,6,22,,,,,
2009-02-15,23:00,,3,19,,,,,
2009-02-16,,,,,,28,,,
2009-02-16,00:00,,1,15,,,,,
2009-02-16,01:00,,1,17,,,,,
2009-02-16,02:00,,4,19,,,,,
2009-02-16,03:00,,4,22,,,,,
2009-02-16,04:00,,4,23,,,,,
2009-02-16,05:00,,20,31,,,,,
2009-02-16,06:00,,25,29,,,,,
2009-02-16,07:00,,30,35,,,,,
2009-02-16,08:00,,70,48,,,,,
2009-02-16,09:00,,53,44,,,,,
2009-02-16,10:00,,62,46,,,,,
2009-02-16,11:00,,35,32,,,,,
2009-02-16,12:00,,37,30,,,,,
2009-02-16,13:00,,31,30,,,,,
2009-02-16,14:00,,23,28,,,,,
2009-02-16,15:00,,31,30,,,,,
2009-02-16,16:00,,19,29,,,,,
2009-02-16,17:00,,30,38,,,,,
2009-02-16,18:00,,33,42,,,,,
2009-02-16,19:00,,32,42,,,,,
2009-02-16,20:00,,21,37,,,,,
