Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-10-09,22:00,,15,13,,,,
2016-10-09,23:00,,15,10,,,,
2016-10-10,,,,,19,,
2016-10-10,00:00,,8,12,,,,
2016-10-10,01:00,,12,11,,,,
2016-10-10,02:00,,12,10,,,,
2016-10-10,03:00,,50,11,,,,
2016-10-10,04:00,,48,14,,,,
2016-10-10,05:00,,73,18,,,,
2016-10-10,06:00,,137,24,,,,
2016-10-10,07:00,,143,27,,,,
2016-10-10,08:00,,160,27,,,,
2016-10-10,09:00,,89,22,,,,
2016-10-10,10:00,,68,20,,,,
2016-10-10,11:00,,43,27,,,,
2016-10-10,12:00,,45,27,,,,
2016-10-10,13:00,,35,24,,,,
2016-10-10,14:00,,61,32,,,,
2016-10-10,15:00,,50,28,,,,
2016-10-10,16:00,,63,45,,,,
2016-10-10,17:00,,60,40,,,,
2016-10-10,18:00,,58,37,,,,
2016-10-10,19:00,,32,30,,,,
2016-10-10,20:00,,24,29,,,,
2016-10-10,21:00,,18,23,,,,
2016-10-10,22:00,,27,15,,,,
2016-10-10,23:00,,24,12,,,,
2016-10-11,,,,,25,,
2016-10-11,00:00,,14,9,,,,
2016-10-11,01:00,,12,8,,,,
2016-10-11,02:00,,13,8,,,,
2016-10-11,03:00,,12,9,,,,
2016-10-11,04:00,,53,10,,,,
2016-10-11,05:00,,85,21,,,,
2016-10-11,06:00,,73,31,,,,
2016-10-11,07:00,,44,31,,,,
2016-10-11,08:00,,74,30,,,,
2016-10-11,09:00,,52,30,,,,
2016-10-11,10:00,,38,26,,,,
2016-10-11,11:00,,55,32,,,,
2016-10-11,12:00,,33,23,,,,
2016-10-11,13:00,,27,22,,,,
2016-10-11,14:00,,40,26,,,,
2016-10-11,15:00,,38,26,,,,
2016-10-11,16:00,,88,43,,,,
2016-10-11,17:00,,47,35,,,,
2016-10-11,18:00,,48,39,,,,
2016-10-11,19:00,,45,36,,,,
2016-10-11,20:00,,19,26,,,,
2016-10-11,21:00,,17,25,,,,
2016-10-11,22:00,,9,18,,,,
2016-10-11,23:00,,7,15,,,,
2016-10-12,,,,,15,,
2016-10-12,00:00,,3,12,,,,
2016-10-12,01:00,,3,11,,,,
2016-10-12,02:00,,7,13,,,,
2016-10-12,03:00,,8,17,,,,
2016-10-12,04:00,,4,14,,,,
2016-10-12,05:00,,20,13,,,,
2016-10-12,06:00,,36,17,,,,
2016-10-12,07:00,,64,21,,,,
2016-10-12,08:00,,114,26,,,,
2016-10-12,09:00,,73,22,,,,
