Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-02-14,20:00,,27,53,58,,,
2017-02-14,21:00,,56,87,27,,,
2017-02-14,22:00,,26,54,54,,,
2017-02-14,23:00,,17,47,57,,,
2017-02-15,00:00,,4,32,64,,,
2017-02-15,01:00,,4,37,53,,,
2017-02-15,02:00,,1,32,57,,,
2017-02-15,03:00,,2,34,51,,,
2017-02-15,04:00,,6,41,36,,,
2017-02-15,05:00,,10,38,44,,,
2017-02-15,06:00,,21,42,44,,,
2017-02-15,07:00,,51,60,34,,,
2017-02-15,08:00,,62,72,29,,,
2017-02-15,09:00,,54,61,36,,,
2017-02-15,10:00,,113,74,32,,,
2017-02-15,11:00,,100,73,35,,,
2017-02-15,12:00,,96,66,43,,,
2017-02-15,13:00,,115,90,34,,,
2017-02-15,14:00,,139,104,24,,,
2017-02-15,15:00,,149,111,23,,,
2017-02-15,16:00,,163,127,12,,,
2017-02-15,17:00,,349,171,3,,,
2017-02-15,18:00,,297,157,2,,,
2017-02-15,19:00,,279,145,2,,,
2017-02-15,20:00,,223,131,2,,,
2017-02-15,21:00,,221,130,2,,,
2017-02-15,22:00,,109,108,2,,,
2017-02-15,23:00,,94,102,4,,,
2017-02-16,00:00,,44,85,7,,,
2017-02-16,01:00,,6,51,28,,,
2017-02-16,02:00,,8,50,26,,,
2017-02-16,03:00,,3,38,39,,,
2017-02-16,04:00,,2,37,38,,,
2017-02-16,05:00,,10,37,36,,,
2017-02-16,06:00,,41,51,23,,,
2017-02-16,07:00,,100,79,11,,,
2017-02-16,08:00,,123,83,7,,,
2017-02-16,09:00,,189,93,10,,,
2017-02-16,10:00,,125,77,16,,,
2017-02-16,11:00,,88,70,23,,,
2017-02-16,12:00,,139,86,21,,,
2017-02-16,13:00,,90,83,25,,,
2017-02-16,14:00,,123,83,27,,,
2017-02-16,15:00,,60,70,38,,,
2017-02-16,16:00,,113,93,27,,,
