Datum Zeit,Bautzen WINDRI
,GRAD
05-02-19 02:00,192
05-02-19 01:00,190
05-02-19 00:00,188
04-02-19 23:00,192
04-02-19 22:00,199
04-02-19 21:00,195
04-02-19 20:00,187
04-02-19 19:00,200
04-02-19 18:00,210
04-02-19 17:00,185
04-02-19 16:00,209
04-02-19 15:00,211
04-02-19 14:00,231
04-02-19 13:00,241
04-02-19 12:00,243
04-02-19 11:00,245
04-02-19 10:00,239
04-02-19 09:00,248
04-02-19 08:00,257
04-02-19 07:00,0
04-02-19 06:00,0
04-02-19 05:00,0
04-02-19 04:00,0
04-02-19 03:00,0
04-02-19 02:00,0
04-02-19 01:00,272
04-02-19 00:00,288
03-02-19 23:00,279
03-02-19 22:00,283
03-02-19 21:00,284
03-02-19 20:00,283
03-02-19 19:00,295
03-02-19 18:00,287
03-02-19 17:00,319
03-02-19 16:00,329
03-02-19 15:00,346
03-02-19 14:00,344
03-02-19 13:00,351
03-02-19 12:00,337
03-02-19 11:00,335
03-02-19 10:00,347
03-02-19 09:00,354
03-02-19 08:00,321
03-02-19 07:00,327
03-02-19 06:00,279
03-02-19 05:00,275
03-02-19 04:00,282
03-02-19 03:00,280
03-02-19 02:00,276
03-02-19 01:00,265
03-02-19 00:00,266
02-02-19 23:00,266
02-02-19 22:00,266
02-02-19 21:00,247
02-02-19 20:00,242
02-02-19 19:00,239
02-02-19 18:00,251
02-02-19 17:00,239
02-02-19 16:00,240
02-02-19 15:00,247
02-02-19 14:00,248
02-02-19 13:00,243
02-02-19 12:00,248
02-02-19 11:00,253
02-02-19 10:00,263
02-02-19 09:00,205
02-02-19 08:00,252
02-02-19 07:00,242
02-02-19 06:00,268
02-02-19 05:00,48
02-02-19 04:00,51
02-02-19 03:00,68
02-02-19 02:00,70
02-02-19 01:00,51
02-02-19 00:00,52
01-02-19 23:00,59
01-02-19 22:00,64
01-02-19 21:00,70
01-02-19 20:00,85
01-02-19 19:00,145
01-02-19 18:00,128
01-02-19 17:00,113
01-02-19 16:00,158
01-02-19 15:00,175
01-02-19 14:00,197
01-02-19 13:00,159
01-02-19 12:00,159
01-02-19 11:00,143
01-02-19 10:00,127
01-02-19 09:00,170
01-02-19 08:00,155
01-02-19 07:00,148
01-02-19 06:00,130
01-02-19 05:00,114
01-02-19 04:00,24
01-02-19 03:00,73
01-02-19 02:00,106
01-02-19 01:00,122

