Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2000-03-13,15:00,,0.1,1,16,63,,,3.5
2000-03-13,16:00,,0.1,1,17,61,,,2.4
2000-03-13,17:00,,0.1,1,21,57,,,3.4
2000-03-13,18:00,,0.1,1,27,49,,,4.8
2000-03-13,19:00,,0.3,2,53,23,,,7.4
2000-03-13,20:00,,0.2,3,58,17,,,6.8
2000-03-13,21:00,,0.2,3,49,20,,,5.6
2000-03-13,22:00,,0.1,1,32,34,,,4.7
2000-03-13,23:00,,0.1,1,21,46,,,4.7
2000-03-14,,,,,,,12,,
2000-03-14,00:00,,0.1,1,18,50,,,4.1
2000-03-14,01:00,,0.1,1,15,55,,,1.8
2000-03-14,02:00,,0.1,1,19,48,,,2.1
2000-03-14,03:00,,0.1,1,12,55,,,1.1
2000-03-14,04:00,,0.1,1,12,55,,,1.3
2000-03-14,05:00,,0.1,,,,,,1.0
2000-03-14,06:00,,0.1,1,17,50,,,1.5
2000-03-14,07:00,,0.1,1,21,43,,,2.0
2000-03-14,08:00,,0.1,4,26,34,,,
2000-03-14,09:00,,0.2,3,28,30,,,2.7
2000-03-14,10:00,,0.2,5,27,30,,,2.4
2000-03-14,11:00,,0.1,5,27,33,,,2.1
2000-03-14,12:00,,0.1,3,25,36,,,1.2
2000-03-14,13:00,,0.1,3,25,38,,,1.9
2000-03-14,14:00,,0.1,4,25,37,,,1.8
2000-03-14,15:00,,0.1,4,26,35,,,1.5
2000-03-14,16:00,,0.1,4,25,36,,,2.2
2000-03-14,17:00,,0.2,1,29,32,,,1.8
2000-03-14,18:00,,0.1,1,27,34,,,1.8
2000-03-14,19:00,,0.1,1,25,38,,,1.7
2000-03-14,20:00,,,1,21,40,,,1.0
2000-03-14,21:00,,0.1,1,4,91,,,1.0
2000-03-14,22:00,,0.1,1,4,92,,,1.0
2000-03-14,23:00,,0.1,1,6,85,,,1.0
2000-03-15,,,,,,,8,,
2000-03-15,00:00,,0.1,1,5,80,,,1.0
2000-03-15,01:00,,0.1,1,5,85,,,1.0
2000-03-15,02:00,,0.1,1,4,88,,,1.0
2000-03-15,03:00,,0.1,1,4,88,,,1.0
2000-03-15,04:00,,0.1,1,4,,,,1.0
2000-03-15,05:00,,0.1,,,80,,,1.0
2000-03-15,06:00,,0.1,1,6,79,,,1.0
2000-03-15,07:00,,0.1,1,8,76,,,1.5
2000-03-15,08:00,,0.1,1,10,73,,,
